text,category,type,location,time,status
"Major accident on HSR Layout, multiple vehicles involved.",Accident,Emergency,HSR Layout,2025-08-10 10:57:25,Resolved
"Smoke rising near Brigade Road, seems like a fire incident.",Fire,Emergency,BTM Layout,2025-08-08 11:00:25,Acknowledged
"Injury reported at BTM Layout, need hospital support.",Medical,Emergency,Electronic City,2025-08-15 05:28:25,Resolved
"Huge pothole on Hebbal, risky for bikers.",Potholes,Non-Emergency,MG Road,2025-08-08 10:45:25,Resolved
Waste blocking road at Electronic City.,Garbage,Non-Emergency,Koramangala,2025-08-25 20:20:25,Resolved
Industrial smoke polluting air at MG Road.,Pollution,Non-Emergency,BTM Layout,2025-07-30 15:22:25,New
Traffic congestion reported at Koramangala.,Traffic,Non-Emergency,MG Road,2025-07-30 08:05:25,Resolved
"Huge pothole on Whitefield, risky for bikers.",Potholes,Non-Emergency,MG Road,2025-07-30 08:17:25,New
"Car crash at MG Road, traffic blocked.",Accident,Emergency,Koramangala,2025-08-11 19:27:25,Acknowledged
"Person fainted at Koramangala, need medical help.",Medical,Emergency,Koramangala,2025-08-05 09:30:25,Acknowledged
"Major accident on Electronic City, multiple vehicles involved.",Accident,Emergency,Indiranagar,2025-08-20 03:32:25,New
"Road blocked near Indiranagar, vehicles moving slowly.",Traffic,Non-Emergency,HSR Layout,2025-08-14 09:30:25,Resolved
"Bike accident occurred at MG Road, police required.",Accident,Emergency,Hebbal,2025-08-23 04:19:25,Acknowledged
Industrial smoke polluting air at Hebbal.,Pollution,Non-Emergency,Indiranagar,2025-08-12 20:45:25,Acknowledged
Heavy traffic jam at Koramangala.,Traffic,Non-Emergency,Yeshwanthpur,2025-08-20 18:44:25,Resolved
Dangerous pothole reported at Koramangala.,Potholes,Non-Emergency,BTM Layout,2025-08-27 06:53:25,New
Huge fire reported at Yeshwanthpur.,Fire,Emergency,HSR Layout,2025-08-24 05:20:25,Resolved
Water pollution noticed near MG Road.,Pollution,Non-Emergency,Koramangala,2025-08-16 14:00:25,Acknowledged
Waste blocking road at Koramangala.,Garbage,Non-Emergency,Hebbal,2025-08-26 10:43:25,Acknowledged
Plastic waste causing pollution at Indiranagar.,Pollution,Non-Emergency,Indiranagar,2025-08-02 23:39:25,New
"Bike accident occurred at Indiranagar, police required.",Accident,Emergency,Brigade Road,2025-08-05 23:02:25,Resolved
Road at Indiranagar has multiple potholes.,Potholes,Non-Emergency,Brigade Road,2025-08-05 02:08:25,Acknowledged
Pothole causing accidents near Indiranagar.,Potholes,Non-Emergency,Electronic City,2025-07-29 14:35:25,Resolved
"Bike accident occurred at Koramangala, police required.",Accident,Emergency,Koramangala,2025-08-11 13:33:25,Acknowledged
Emergency! Fire outbreak at Brigade Road.,Fire,Emergency,Electronic City,2025-08-07 02:38:25,Acknowledged
"Fight broke out at BTM Layout, police required.",Crime,Emergency,HSR Layout,2025-08-16 14:01:25,New
Dangerous pothole reported at Koramangala.,Potholes,Non-Emergency,Electronic City,2025-08-08 16:45:25,Resolved
"Person fainted at Hebbal, need medical help.",Medical,Emergency,Koramangala,2025-08-11 09:06:25,Acknowledged
Heart attack case reported at Yeshwanthpur.,Medical,Emergency,Whitefield,2025-08-01 16:46:25,Resolved
"Bike accident occurred at Whitefield, police required.",Accident,Emergency,Koramangala,2025-08-07 04:45:25,Resolved
"Person fainted at Hebbal, need medical help.",Medical,Emergency,Hebbal,2025-08-17 17:42:25,Resolved
Building caught fire at Hebbal.,Fire,Emergency,Koramangala,2025-08-14 13:13:25,Resolved
"Road blocked near Whitefield, vehicles moving slowly.",Traffic,Non-Emergency,Hebbal,2025-07-31 17:43:25,Resolved
"Fight broke out at Electronic City, police required.",Crime,Emergency,Yeshwanthpur,2025-08-24 06:07:25,Resolved
"Huge pothole on Brigade Road, risky for bikers.",Potholes,Non-Emergency,Koramangala,2025-08-01 07:13:25,Resolved
"Injury reported at MG Road, need hospital support.",Medical,Emergency,BTM Layout,2025-08-28 09:45:25,Acknowledged
Robbery reported at Hebbal.,Crime,Emergency,BTM Layout,2025-08-06 15:05:25,Acknowledged
"Murder reported near Indiranagar, urgent action needed.",Crime,Emergency,Brigade Road,2025-08-03 10:08:25,Acknowledged
"Bike accident occurred at Electronic City, police required.",Accident,Emergency,HSR Layout,2025-08-15 01:20:25,New
"Person fainted at HSR Layout, need medical help.",Medical,Emergency,MG Road,2025-08-09 04:09:25,New
Garbage not collected from Yeshwanthpur for 3 days.,Garbage,Non-Emergency,Koramangala,2025-08-04 00:02:25,New
Industrial smoke polluting air at Indiranagar.,Pollution,Non-Emergency,HSR Layout,2025-07-30 22:02:25,New
"Car crash at Yeshwanthpur, traffic blocked.",Accident,Emergency,Hebbal,2025-07-31 10:32:25,Resolved
Suspicious activity noticed at HSR Layout.,Crime,Emergency,Whitefield,2025-08-11 07:33:25,Resolved
"Garbage dumped at BTM Layout, smells bad.",Garbage,Non-Emergency,Brigade Road,2025-08-13 03:48:25,Acknowledged
Dangerous pothole reported at MG Road.,Potholes,Non-Emergency,MG Road,2025-08-03 02:45:25,Resolved
Plastic waste causing pollution at HSR Layout.,Pollution,Non-Emergency,Hebbal,2025-08-06 07:49:25,Acknowledged
"Person fainted at BTM Layout, need medical help.",Medical,Emergency,Indiranagar,2025-08-23 19:23:25,New
"Garbage dumped at Koramangala, smells bad.",Garbage,Non-Emergency,Koramangala,2025-07-28 19:49:25,New
Medical emergency near Indiranagar.,Medical,Emergency,Electronic City,2025-08-07 13:02:25,Acknowledged
"Car crash at Hebbal, traffic blocked.",Accident,Emergency,Koramangala,2025-08-26 15:39:25,Resolved
Suspicious activity noticed at Hebbal.,Crime,Emergency,BTM Layout,2025-08-03 02:08:25,New
Robbery reported at Whitefield.,Crime,Emergency,Hebbal,2025-08-21 16:34:25,Resolved
Heart attack case reported at Brigade Road.,Medical,Emergency,Whitefield,2025-07-31 20:55:25,New
"Road accident reported near Brigade Road, need ambulance.",Accident,Emergency,Electronic City,2025-08-08 19:58:25,Acknowledged
Waste blocking road at Koramangala.,Garbage,Non-Emergency,BTM Layout,2025-08-01 10:14:25,Acknowledged
Garbage not collected from MG Road for 3 days.,Garbage,Non-Emergency,Brigade Road,2025-08-22 01:42:25,New
Huge fire reported at Electronic City.,Fire,Emergency,Electronic City,2025-08-21 20:45:25,Resolved
Pothole causing accidents near MG Road.,Potholes,Non-Emergency,Indiranagar,2025-07-30 16:58:25,Resolved
Robbery reported at Whitefield.,Crime,Emergency,Electronic City,2025-08-21 13:24:25,Resolved
"Murder reported near MG Road, urgent action needed.",Crime,Emergency,Koramangala,2025-08-10 12:33:25,Acknowledged
Overflowing trash bin near Brigade Road.,Garbage,Non-Emergency,Electronic City,2025-08-12 18:03:25,Resolved
Emergency! Fire outbreak at BTM Layout.,Fire,Emergency,HSR Layout,2025-08-22 13:36:25,Acknowledged
"Injury reported at MG Road, need hospital support.",Medical,Emergency,BTM Layout,2025-08-06 15:46:25,New
"Huge pothole on Indiranagar, risky for bikers.",Potholes,Non-Emergency,Yeshwanthpur,2025-08-03 08:48:25,New
Waste blocking road at Koramangala.,Garbage,Non-Emergency,MG Road,2025-08-24 10:25:25,New
"Garbage dumped at Indiranagar, smells bad.",Garbage,Non-Emergency,Koramangala,2025-08-09 22:56:25,Resolved
"Huge pothole on BTM Layout, risky for bikers.",Potholes,Non-Emergency,BTM Layout,2025-08-08 13:57:25,Resolved
Heart attack case reported at HSR Layout.,Medical,Emergency,BTM Layout,2025-08-21 15:46:25,Resolved
"Injury reported at Brigade Road, need hospital support.",Medical,Emergency,Electronic City,2025-07-31 19:55:25,New
"Injury reported at BTM Layout, need hospital support.",Medical,Emergency,Yeshwanthpur,2025-08-22 23:15:25,Acknowledged
"Bike accident occurred at Koramangala, police required.",Accident,Emergency,Brigade Road,2025-08-26 02:43:25,Acknowledged
Waste blocking road at Whitefield.,Garbage,Non-Emergency,HSR Layout,2025-08-19 01:20:25,Acknowledged
"Fight broke out at Koramangala, police required.",Crime,Emergency,Whitefield,2025-08-03 08:21:25,Acknowledged
Dangerous pothole reported at Yeshwanthpur.,Potholes,Non-Emergency,Whitefield,2025-08-16 20:52:25,New
"Smoke rising near Yeshwanthpur, seems like a fire incident.",Fire,Emergency,Hebbal,2025-07-31 11:15:25,Resolved
Water pollution noticed near BTM Layout.,Pollution,Non-Emergency,Yeshwanthpur,2025-08-07 21:40:25,Resolved
Road at Hebbal has multiple potholes.,Potholes,Non-Emergency,Indiranagar,2025-08-08 06:32:25,Acknowledged
Road at MG Road has multiple potholes.,Potholes,Non-Emergency,MG Road,2025-08-03 15:17:25,Acknowledged
"Road accident reported near Whitefield, need ambulance.",Accident,Emergency,Whitefield,2025-08-19 19:43:25,Acknowledged
Water pollution noticed near MG Road.,Pollution,Non-Emergency,Hebbal,2025-08-04 20:55:25,New
"Huge pothole on Hebbal, risky for bikers.",Potholes,Non-Emergency,Brigade Road,2025-08-06 02:07:25,Resolved
"Major accident on Yeshwanthpur, multiple vehicles involved.",Accident,Emergency,Koramangala,2025-07-30 02:47:25,Resolved
Heart attack case reported at Hebbal.,Medical,Emergency,Electronic City,2025-08-09 08:22:25,Acknowledged
Heart attack case reported at MG Road.,Medical,Emergency,HSR Layout,2025-08-06 06:03:25,New
"Car crash at MG Road, traffic blocked.",Accident,Emergency,Yeshwanthpur,2025-08-06 23:16:25,New
"Road accident reported near BTM Layout, need ambulance.",Accident,Emergency,Brigade Road,2025-08-19 18:44:25,Acknowledged
"Fight broke out at Hebbal, police required.",Crime,Emergency,Yeshwanthpur,2025-08-23 02:58:25,Acknowledged
Robbery reported at MG Road.,Crime,Emergency,Koramangala,2025-08-02 12:39:25,Acknowledged
"Car crash at Whitefield, traffic blocked.",Accident,Emergency,Indiranagar,2025-08-20 19:22:25,New
Huge fire reported at Electronic City.,Fire,Emergency,Yeshwanthpur,2025-08-08 21:52:25,New
Overflowing trash bin near Electronic City.,Garbage,Non-Emergency,HSR Layout,2025-07-29 04:02:25,New
Accident causing traffic delays on Yeshwanthpur.,Traffic,Non-Emergency,Yeshwanthpur,2025-08-18 01:15:25,Resolved
"Smoke rising near Electronic City, seems like a fire incident.",Fire,Emergency,Indiranagar,2025-08-15 17:52:25,Resolved
Robbery reported at Brigade Road.,Crime,Emergency,BTM Layout,2025-08-05 00:55:25,Acknowledged
"Injury reported at Hebbal, need hospital support.",Medical,Emergency,Brigade Road,2025-08-16 15:14:25,New
"Person fainted at Brigade Road, need medical help.",Medical,Emergency,Koramangala,2025-08-27 06:02:25,Resolved
Dangerous pothole reported at Koramangala.,Potholes,Non-Emergency,Indiranagar,2025-08-09 10:50:25,Acknowledged
"Garbage dumped at HSR Layout, smells bad.",Garbage,Non-Emergency,MG Road,2025-08-27 06:07:25,Resolved
"Bike accident occurred at Brigade Road, police required.",Accident,Emergency,Yeshwanthpur,2025-08-04 22:53:25,Resolved
"Person fainted at Hebbal, need medical help.",Medical,Emergency,Koramangala,2025-07-31 08:19:25,New
Heart attack case reported at Electronic City.,Medical,Emergency,Whitefield,2025-08-23 23:05:25,Acknowledged
"Injury reported at Hebbal, need hospital support.",Medical,Emergency,Electronic City,2025-08-03 19:25:25,Resolved
Traffic congestion reported at BTM Layout.,Traffic,Non-Emergency,Whitefield,2025-08-17 02:16:25,Resolved
Garbage not collected from BTM Layout for 3 days.,Garbage,Non-Emergency,Koramangala,2025-08-20 18:00:25,New
"Fight broke out at Brigade Road, police required.",Crime,Emergency,Electronic City,2025-08-18 05:15:25,New
Huge fire reported at Yeshwanthpur.,Fire,Emergency,HSR Layout,2025-08-09 23:14:25,Acknowledged
"Bike accident occurred at Whitefield, police required.",Accident,Emergency,HSR Layout,2025-08-13 16:28:25,New
"Smoke rising near Koramangala, seems like a fire incident.",Fire,Emergency,HSR Layout,2025-08-09 16:45:25,Acknowledged
Heavy traffic jam at Brigade Road.,Traffic,Non-Emergency,Yeshwanthpur,2025-08-22 03:46:25,Resolved
Heavy traffic jam at Indiranagar.,Traffic,Non-Emergency,Hebbal,2025-08-16 08:16:25,New
Medical emergency near Yeshwanthpur.,Medical,Emergency,HSR Layout,2025-08-13 03:51:25,New
Industrial smoke polluting air at Brigade Road.,Pollution,Non-Emergency,HSR Layout,2025-08-07 08:44:25,New
Dangerous pothole reported at BTM Layout.,Potholes,Non-Emergency,HSR Layout,2025-08-22 02:24:25,New
Plastic waste causing pollution at MG Road.,Pollution,Non-Emergency,Indiranagar,2025-08-15 02:03:25,Resolved
Plastic waste causing pollution at BTM Layout.,Pollution,Non-Emergency,Indiranagar,2025-08-14 00:15:25,New
Road at BTM Layout has multiple potholes.,Potholes,Non-Emergency,BTM Layout,2025-07-29 17:40:25,Acknowledged
"Smoke rising near MG Road, seems like a fire incident.",Fire,Emergency,BTM Layout,2025-08-26 10:03:25,Resolved
"Huge pothole on Electronic City, risky for bikers.",Potholes,Non-Emergency,Electronic City,2025-08-16 00:14:25,Acknowledged
Heavy traffic jam at Brigade Road.,Traffic,Non-Emergency,Indiranagar,2025-08-26 06:59:25,Resolved
Pothole causing accidents near Brigade Road.,Potholes,Non-Emergency,HSR Layout,2025-07-29 09:32:25,Resolved
Waste blocking road at Koramangala.,Garbage,Non-Emergency,Brigade Road,2025-08-04 23:55:25,New
Plastic waste causing pollution at Yeshwanthpur.,Pollution,Non-Emergency,Electronic City,2025-08-26 02:32:25,New
"Injury reported at Whitefield, need hospital support.",Medical,Emergency,Koramangala,2025-08-20 11:15:25,Resolved
Heart attack case reported at Koramangala.,Medical,Emergency,Hebbal,2025-08-27 07:00:25,Acknowledged
Water pollution noticed near Brigade Road.,Pollution,Non-Emergency,MG Road,2025-08-03 00:40:25,Resolved
Building caught fire at Koramangala.,Fire,Emergency,HSR Layout,2025-08-16 05:02:25,Resolved
Emergency! Fire outbreak at Indiranagar.,Fire,Emergency,Koramangala,2025-08-21 16:01:25,Resolved
"Smoke rising near BTM Layout, seems like a fire incident.",Fire,Emergency,MG Road,2025-08-05 16:17:25,Resolved
"Garbage dumped at Yeshwanthpur, smells bad.",Garbage,Non-Emergency,Indiranagar,2025-08-28 16:31:25,Acknowledged
"Smoke rising near Hebbal, seems like a fire incident.",Fire,Emergency,BTM Layout,2025-08-01 08:56:25,New
"Injury reported at MG Road, need hospital support.",Medical,Emergency,Hebbal,2025-08-25 16:52:25,New
Robbery reported at Indiranagar.,Crime,Emergency,HSR Layout,2025-08-18 22:32:25,New
"Major accident on Whitefield, multiple vehicles involved.",Accident,Emergency,BTM Layout,2025-08-02 12:06:25,New
Suspicious activity noticed at BTM Layout.,Crime,Emergency,MG Road,2025-08-02 07:59:25,New
Suspicious activity noticed at Koramangala.,Crime,Emergency,Yeshwanthpur,2025-08-25 00:33:25,Acknowledged
Plastic waste causing pollution at MG Road.,Pollution,Non-Emergency,Electronic City,2025-07-29 12:56:25,New
Water pollution noticed near BTM Layout.,Pollution,Non-Emergency,BTM Layout,2025-08-07 10:45:25,Acknowledged
"Injury reported at BTM Layout, need hospital support.",Medical,Emergency,Hebbal,2025-08-12 11:11:25,New
Suspicious activity noticed at BTM Layout.,Crime,Emergency,Whitefield,2025-08-14 17:47:25,New
Heavy traffic jam at MG Road.,Traffic,Non-Emergency,Yeshwanthpur,2025-08-17 16:35:25,New
"Huge pothole on MG Road, risky for bikers.",Potholes,Non-Emergency,Hebbal,2025-08-02 11:16:25,New
Industrial smoke polluting air at Koramangala.,Pollution,Non-Emergency,Koramangala,2025-08-21 22:41:25,Acknowledged
Garbage not collected from Yeshwanthpur for 3 days.,Garbage,Non-Emergency,BTM Layout,2025-08-08 03:38:25,New
"Major accident on Electronic City, multiple vehicles involved.",Accident,Emergency,Indiranagar,2025-07-29 02:50:25,New
Emergency! Fire outbreak at Hebbal.,Fire,Emergency,Electronic City,2025-08-11 20:30:25,Resolved
"Bike accident occurred at BTM Layout, police required.",Accident,Emergency,Brigade Road,2025-07-30 10:30:25,Acknowledged
"Road accident reported near Whitefield, need ambulance.",Accident,Emergency,Hebbal,2025-08-02 04:52:25,Resolved
Building caught fire at Brigade Road.,Fire,Emergency,Koramangala,2025-08-20 13:45:25,New
"Car crash at Electronic City, traffic blocked.",Accident,Emergency,BTM Layout,2025-08-01 20:42:25,New
"Smoke rising near Indiranagar, seems like a fire incident.",Fire,Emergency,Brigade Road,2025-08-19 08:55:25,New
Pothole causing accidents near Hebbal.,Potholes,Non-Emergency,Indiranagar,2025-08-09 20:34:25,Resolved
Suspicious activity noticed at Indiranagar.,Crime,Emergency,Hebbal,2025-08-06 08:42:25,Acknowledged
"Injury reported at BTM Layout, need hospital support.",Medical,Emergency,Whitefield,2025-08-28 00:14:25,New
Suspicious activity noticed at Hebbal.,Crime,Emergency,Koramangala,2025-08-23 11:18:25,Resolved
Water pollution noticed near Whitefield.,Pollution,Non-Emergency,HSR Layout,2025-08-24 02:27:25,Acknowledged
Pothole causing accidents near BTM Layout.,Potholes,Non-Emergency,MG Road,2025-08-12 12:51:25,Resolved
Robbery reported at Yeshwanthpur.,Crime,Emergency,Yeshwanthpur,2025-08-26 10:10:25,Acknowledged
Pothole causing accidents near MG Road.,Potholes,Non-Emergency,Brigade Road,2025-08-11 03:35:25,Resolved
Overflowing trash bin near Brigade Road.,Garbage,Non-Emergency,Hebbal,2025-08-13 06:42:25,Acknowledged
"Garbage dumped at HSR Layout, smells bad.",Garbage,Non-Emergency,Hebbal,2025-08-04 09:21:25,New
Building caught fire at Indiranagar.,Fire,Emergency,MG Road,2025-08-14 16:17:25,Acknowledged
Building caught fire at HSR Layout.,Fire,Emergency,Brigade Road,2025-08-22 13:09:25,Resolved
Accident causing traffic delays on Koramangala.,Traffic,Non-Emergency,Yeshwanthpur,2025-08-21 08:54:25,Acknowledged
"Car crash at Electronic City, traffic blocked.",Accident,Emergency,Hebbal,2025-07-28 19:51:25,Acknowledged
"Smoke rising near Yeshwanthpur, seems like a fire incident.",Fire,Emergency,Electronic City,2025-08-22 00:07:25,Resolved
Heart attack case reported at Brigade Road.,Medical,Emergency,HSR Layout,2025-08-24 00:54:25,New
Huge fire reported at Indiranagar.,Fire,Emergency,Koramangala,2025-08-01 09:57:25,Acknowledged
Medical emergency near HSR Layout.,Medical,Emergency,Hebbal,2025-08-16 00:59:25,New
"Person fainted at Hebbal, need medical help.",Medical,Emergency,MG Road,2025-08-20 06:03:25,Acknowledged
Dangerous pothole reported at Whitefield.,Potholes,Non-Emergency,Brigade Road,2025-08-09 16:50:25,Resolved
"Road blocked near Whitefield, vehicles moving slowly.",Traffic,Non-Emergency,Electronic City,2025-08-28 15:17:25,New
"Person fainted at BTM Layout, need medical help.",Medical,Emergency,BTM Layout,2025-08-05 20:21:25,Resolved
Heavy traffic jam at MG Road.,Traffic,Non-Emergency,Koramangala,2025-08-08 17:12:25,New
Air pollution level rising around HSR Layout.,Pollution,Non-Emergency,Brigade Road,2025-08-27 05:57:25,New
Huge fire reported at Koramangala.,Fire,Emergency,Electronic City,2025-08-03 13:07:25,New
"Fight broke out at Koramangala, police required.",Crime,Emergency,Brigade Road,2025-08-02 07:33:25,Acknowledged
Suspicious activity noticed at Brigade Road.,Crime,Emergency,Indiranagar,2025-08-04 08:23:25,Acknowledged
Accident causing traffic delays on Whitefield.,Traffic,Non-Emergency,Koramangala,2025-08-16 03:05:25,Acknowledged
Medical emergency near Brigade Road.,Medical,Emergency,MG Road,2025-08-27 08:48:25,New
Suspicious activity noticed at Indiranagar.,Crime,Emergency,Indiranagar,2025-08-25 18:20:25,Resolved
Garbage not collected from BTM Layout for 3 days.,Garbage,Non-Emergency,Indiranagar,2025-08-06 21:59:25,Acknowledged
"Person fainted at MG Road, need medical help.",Medical,Emergency,Brigade Road,2025-08-18 00:17:25,Resolved
"Major accident on Koramangala, multiple vehicles involved.",Accident,Emergency,Brigade Road,2025-08-16 19:12:25,Resolved
Accident causing traffic delays on Koramangala.,Traffic,Non-Emergency,Hebbal,2025-08-26 12:19:25,New
Overflowing trash bin near HSR Layout.,Garbage,Non-Emergency,Yeshwanthpur,2025-08-25 17:30:25,Resolved
Heavy traffic jam at HSR Layout.,Traffic,Non-Emergency,Yeshwanthpur,2025-08-05 18:52:25,Acknowledged
"Road blocked near MG Road, vehicles moving slowly.",Traffic,Non-Emergency,HSR Layout,2025-08-01 01:09:25,Acknowledged
Huge fire reported at Brigade Road.,Fire,Emergency,Whitefield,2025-07-30 04:03:25,Resolved
"Murder reported near Koramangala, urgent action needed.",Crime,Emergency,Brigade Road,2025-08-11 04:27:25,Resolved
"Road accident reported near HSR Layout, need ambulance.",Accident,Emergency,MG Road,2025-08-08 11:34:25,Resolved
Plastic waste causing pollution at HSR Layout.,Pollution,Non-Emergency,Hebbal,2025-08-06 22:40:25,New
"Car crash at Brigade Road, traffic blocked.",Accident,Emergency,Yeshwanthpur,2025-08-14 16:50:25,Resolved
Accident causing traffic delays on Brigade Road.,Traffic,Non-Emergency,Hebbal,2025-08-16 05:50:25,Resolved
"Fight broke out at HSR Layout, police required.",Crime,Emergency,Koramangala,2025-08-03 18:44:25,New
"Murder reported near BTM Layout, urgent action needed.",Crime,Emergency,Whitefield,2025-08-06 12:27:25,New
"Car crash at Whitefield, traffic blocked.",Accident,Emergency,Yeshwanthpur,2025-08-11 08:41:25,New
"Murder reported near Indiranagar, urgent action needed.",Crime,Emergency,BTM Layout,2025-08-19 11:39:25,Acknowledged
Air pollution level rising around Electronic City.,Pollution,Non-Emergency,MG Road,2025-08-18 20:20:25,Acknowledged
Building caught fire at MG Road.,Fire,Emergency,Koramangala,2025-07-31 19:53:25,Resolved
"Major accident on Brigade Road, multiple vehicles involved.",Accident,Emergency,Electronic City,2025-07-31 04:49:25,Acknowledged
"Road accident reported near Hebbal, need ambulance.",Accident,Emergency,Whitefield,2025-07-31 23:06:25,New
Industrial smoke polluting air at Indiranagar.,Pollution,Non-Emergency,MG Road,2025-08-21 03:58:25,Resolved
Air pollution level rising around Brigade Road.,Pollution,Non-Emergency,BTM Layout,2025-08-24 12:37:25,New
"Garbage dumped at HSR Layout, smells bad.",Garbage,Non-Emergency,Brigade Road,2025-08-27 15:04:25,Acknowledged
Heavy traffic jam at Yeshwanthpur.,Traffic,Non-Emergency,Yeshwanthpur,2025-08-24 09:54:25,Acknowledged
Suspicious activity noticed at HSR Layout.,Crime,Emergency,HSR Layout,2025-08-11 14:47:25,New
Heart attack case reported at Indiranagar.,Medical,Emergency,Yeshwanthpur,2025-08-06 12:08:25,New
Dangerous pothole reported at Brigade Road.,Potholes,Non-Emergency,Brigade Road,2025-08-17 06:14:25,New
Garbage not collected from Koramangala for 3 days.,Garbage,Non-Emergency,Brigade Road,2025-08-13 05:25:25,Acknowledged
Plastic waste causing pollution at Koramangala.,Pollution,Non-Emergency,Indiranagar,2025-08-20 19:32:25,New
Suspicious activity noticed at MG Road.,Crime,Emergency,BTM Layout,2025-08-21 04:23:25,New
"Huge pothole on MG Road, risky for bikers.",Potholes,Non-Emergency,Koramangala,2025-07-30 10:56:25,New
"Road accident reported near Koramangala, need ambulance.",Accident,Emergency,HSR Layout,2025-08-15 13:50:25,New
Building caught fire at Brigade Road.,Fire,Emergency,Hebbal,2025-08-17 02:46:25,New
Huge fire reported at BTM Layout.,Fire,Emergency,Yeshwanthpur,2025-08-21 03:24:25,Acknowledged
Heavy traffic jam at Brigade Road.,Traffic,Non-Emergency,Koramangala,2025-08-22 09:11:25,Acknowledged
Building caught fire at Yeshwanthpur.,Fire,Emergency,Whitefield,2025-07-29 19:17:25,New
Suspicious activity noticed at Brigade Road.,Crime,Emergency,Hebbal,2025-08-15 11:26:25,New
Garbage not collected from Koramangala for 3 days.,Garbage,Non-Emergency,HSR Layout,2025-08-24 08:33:25,Acknowledged
"Road blocked near Indiranagar, vehicles moving slowly.",Traffic,Non-Emergency,Yeshwanthpur,2025-08-24 15:46:25,New
Suspicious activity noticed at Hebbal.,Crime,Emergency,BTM Layout,2025-08-06 18:45:25,New
"Huge pothole on Hebbal, risky for bikers.",Potholes,Non-Emergency,Indiranagar,2025-08-04 13:47:25,Resolved
Dangerous pothole reported at Koramangala.,Potholes,Non-Emergency,Indiranagar,2025-07-29 20:19:25,Acknowledged
"Person fainted at Electronic City, need medical help.",Medical,Emergency,Electronic City,2025-08-05 08:45:25,Resolved
"Car crash at MG Road, traffic blocked.",Accident,Emergency,Yeshwanthpur,2025-08-24 22:33:25,Acknowledged
"Person fainted at Whitefield, need medical help.",Medical,Emergency,Koramangala,2025-08-08 04:39:25,Resolved
Emergency! Fire outbreak at Electronic City.,Fire,Emergency,HSR Layout,2025-08-01 02:14:25,Resolved
"Road accident reported near Koramangala, need ambulance.",Accident,Emergency,Hebbal,2025-08-10 13:53:25,Resolved
Accident causing traffic delays on HSR Layout.,Traffic,Non-Emergency,HSR Layout,2025-08-16 21:59:25,Acknowledged
Accident causing traffic delays on Yeshwanthpur.,Traffic,Non-Emergency,Indiranagar,2025-08-24 23:13:25,New
Pothole causing accidents near BTM Layout.,Potholes,Non-Emergency,Whitefield,2025-08-18 06:01:25,New
"Major accident on Indiranagar, multiple vehicles involved.",Accident,Emergency,Indiranagar,2025-08-18 00:34:25,Resolved
Water pollution noticed near BTM Layout.,Pollution,Non-Emergency,Electronic City,2025-08-15 10:33:25,New
Road at HSR Layout has multiple potholes.,Potholes,Non-Emergency,Electronic City,2025-08-25 15:39:25,New
"Injury reported at Hebbal, need hospital support.",Medical,Emergency,Brigade Road,2025-08-26 05:07:25,Resolved
Road at Yeshwanthpur has multiple potholes.,Potholes,Non-Emergency,Yeshwanthpur,2025-07-29 00:24:25,Acknowledged
"Garbage dumped at Electronic City, smells bad.",Garbage,Non-Emergency,BTM Layout,2025-08-25 04:57:25,Resolved
"Fight broke out at Whitefield, police required.",Crime,Emergency,Brigade Road,2025-08-04 10:44:25,New
Industrial smoke polluting air at Indiranagar.,Pollution,Non-Emergency,Yeshwanthpur,2025-07-29 06:24:25,Acknowledged
Building caught fire at Yeshwanthpur.,Fire,Emergency,Hebbal,2025-08-21 04:53:25,Resolved
"Major accident on HSR Layout, multiple vehicles involved.",Accident,Emergency,MG Road,2025-08-19 13:29:25,Acknowledged
Waste blocking road at Koramangala.,Garbage,Non-Emergency,Indiranagar,2025-08-12 10:46:25,New
"Injury reported at Hebbal, need hospital support.",Medical,Emergency,Indiranagar,2025-08-18 00:33:25,Resolved
"Road accident reported near Indiranagar, need ambulance.",Accident,Emergency,Koramangala,2025-08-19 13:34:25,Resolved
"Garbage dumped at Electronic City, smells bad.",Garbage,Non-Emergency,Yeshwanthpur,2025-08-01 13:56:25,Resolved
Road at Brigade Road has multiple potholes.,Potholes,Non-Emergency,MG Road,2025-08-09 23:04:25,Resolved
Garbage not collected from Koramangala for 3 days.,Garbage,Non-Emergency,HSR Layout,2025-08-18 03:56:25,Acknowledged
Building caught fire at Electronic City.,Fire,Emergency,Koramangala,2025-08-06 17:20:25,New
"Garbage dumped at Yeshwanthpur, smells bad.",Garbage,Non-Emergency,MG Road,2025-08-11 16:59:25,New
Garbage not collected from Yeshwanthpur for 3 days.,Garbage,Non-Emergency,Electronic City,2025-08-19 14:58:25,Acknowledged
"Person fainted at MG Road, need medical help.",Medical,Emergency,HSR Layout,2025-08-07 10:40:25,Resolved
"Bike accident occurred at BTM Layout, police required.",Accident,Emergency,MG Road,2025-08-21 04:19:25,Resolved
Heart attack case reported at Hebbal.,Medical,Emergency,Yeshwanthpur,2025-07-29 12:00:25,Resolved
"Injury reported at Yeshwanthpur, need hospital support.",Medical,Emergency,Koramangala,2025-07-31 08:16:25,Resolved
"Road blocked near Whitefield, vehicles moving slowly.",Traffic,Non-Emergency,HSR Layout,2025-08-24 05:45:25,Acknowledged
"Fight broke out at Electronic City, police required.",Crime,Emergency,Brigade Road,2025-08-19 18:47:25,Resolved
